finding_id,cve_id,last_detected,title,cvss_v3_base_score,cvss_v3_severity
FIND-00026,CVE-2015-56956,2024-03-12 02:25:57 AM,PostgreSQL Information Disclosure,1.4,LOW
FIND-00027,CVE-2024-54251,2024-04-23 05:07:10 PM,VMware ESXi SQL Injection,8.3,HIGH
FIND-00028,CVE-2015-17720,2024-11-10 10:05:36 PM,Apache HTTP Server Command Injection,2.5,LOW
FIND-00029,CVE-2016-99597,2025-11-25 06:00:00 PM,VMware ESXi Cross-Site Scripting,7.3,HIGH
FIND-00030,CVE-2020-57675,2025-04-23 10:26:57 PM,Linux Kernel Path Traversal,5.1,MEDIUM
FIND-00031,CVE-2025-04489,2024-09-15 05:00:12 AM,Linux Kernel Cross-Site Scripting,4.8,MEDIUM
FIND-00032,CVE-2015-85109,2025-07-12 11:35:52 AM,PostgreSQL SQL Injection,3.9,LOW
FIND-00033,CVE-2020-78802,2024-10-06 06:08:01 PM,OpenSSL SQL Injection,7.3,HIGH
FIND-00034,CVE-2021-84583,2025-08-24 08:49:49 PM,Apache HTTP Server Command Injection,1.4,LOW
FIND-00035,CVE-2020-96193,2024-09-16 09:02:18 AM,MySQL Insecure Deserialization,1.7,LOW
FIND-00036,CVE-2023-90075,2025-03-29 12:29:34 AM,Apache HTTP Server Authentication Bypass,7.3,HIGH
FIND-00037,CVE-2014-51125,2024-05-09 02:58:43 PM,Apache HTTP Server Privilege Escalation,2.8,LOW
FIND-00038,CVE-2019-02765,2024-07-01 12:03:06 PM,Chrome Insecure Deserialization,5.8,MEDIUM
FIND-00039,CVE-2025-12586,2024-01-27 11:20:29 AM,Apache HTTP Server Directory Traversal,2.7,LOW
FIND-00040,CVE-2025-93241,2024-03-09 02:04:40 AM,Nginx Cross-Site Scripting,2.1,LOW
FIND-00041,CVE-2017-63477,2024-12-08 12:54:08 PM,PostgreSQL SQL Injection,5.0,MEDIUM
FIND-00042,CVE-2015-32252,2025-10-20 09:47:16 PM,Chrome Privilege Escalation,1.5,LOW
FIND-00043,CVE-2024-61435,2025-09-02 02:55:33 PM,VMware ESXi Insecure Deserialization,7.1,HIGH
FIND-00044,CVE-2017-84386,2025-07-26 09:24:09 PM,Linux Kernel SQL Injection,2.2,LOW
FIND-00045,CVE-2016-56141,2025-11-30 04:05:28 AM,VMware ESXi Privilege Escalation,6.8,MEDIUM
FIND-00046,CVE-2025-81614,2025-09-17 07:51:18 AM,VMware ESXi Information Disclosure,0.1,LOW
FIND-00047,CVE-2019-67221,2025-07-22 05:26:53 AM,Docker Engine Directory Traversal,3.2,LOW
FIND-00048,CVE-2016-75402,2025-04-30 06:30:12 PM,MySQL Authentication Bypass,4.3,MEDIUM
FIND-00049,CVE-2023-25124,2025-04-12 07:34:12 AM,Nginx Insecure Deserialization,5.1,MEDIUM
FIND-00050,CVE-2020-87929,2024-04-08 01:30:15 PM,Chrome Directory Traversal,6.4,MEDIUM
FIND-00051,CVE-2025-34178,2024-11-18 03:40:46 AM,Citrix ADC Authentication Bypass,6.1,MEDIUM
FIND-00052,CVE-2021-81407,2025-07-31 10:59:57 AM,Docker Engine Remote Code Execution,2.4,LOW
FIND-00053,CVE-2016-86749,2024-06-18 09:33:28 AM,Apache HTTP Server Remote Code Execution,4.7,MEDIUM
FIND-00054,CVE-2016-95915,2025-03-15 10:53:02 PM,Windows Server SQL Injection,8.0,HIGH
FIND-00055,CVE-2018-18258,2025-02-10 11:46:55 PM,OpenSSL Privilege Escalation,4.5,MEDIUM
FIND-00056,CVE-2014-80067,2025-11-14 12:43:06 PM,Fortinet FortiOS Directory Traversal,9.6,CRITICAL
FIND-00057,CVE-2014-07432,2024-11-07 01:49:03 PM,Docker Engine Cross-Site Scripting,2.6,LOW
FIND-00058,CVE-2016-15038,2024-12-30 09:29:30 PM,Microsoft Exchange Path Traversal,4.8,MEDIUM
FIND-00059,CVE-2014-20462,2025-08-28 08:47:44 AM,OpenSSL Cross-Site Scripting,5.6,MEDIUM
FIND-00060,CVE-2015-17477,2024-05-06 09:06:29 PM,Docker Engine Information Disclosure,0.6,LOW
FIND-00061,CVE-2016-80185,2024-04-24 03:26:22 AM,Kubernetes API Server Authentication Bypass,3.4,LOW
FIND-00062,CVE-2022-57387,2025-09-10 11:59:39 AM,PostgreSQL Information Disclosure,0.7,LOW
FIND-00063,CVE-2025-18222,2024-03-17 10:16:44 AM,Cisco ASA Authentication Bypass,9.2,CRITICAL
FIND-00064,CVE-2024-10413,2025-03-09 09:34:35 PM,Citrix ADC Insecure Deserialization,4.4,MEDIUM
FIND-00065,CVE-2024-72708,2024-04-25 07:42:11 PM,MySQL Information Disclosure,8.7,HIGH
FIND-00066,CVE-2020-15075,2024-01-18 09:38:03 PM,Cisco ASA Cross-Site Scripting,3.1,LOW
FIND-00067,CVE-2022-95408,2025-07-25 04:11:25 PM,Chrome Cross-Site Scripting,4.4,MEDIUM
FIND-00068,CVE-2021-49048,2025-01-01 07:23:20 AM,Windows Server Insecure Deserialization,1.6,LOW
FIND-00069,CVE-2016-27141,2025-09-28 06:31:47 PM,VMware ESXi Privilege Escalation,0.0,NONE
FIND-00070,CVE-2014-66136,2024-10-22 06:31:50 AM,MySQL Information Disclosure,5.0,MEDIUM
FIND-00071,CVE-2014-40087,2024-07-26 09:32:49 PM,Windows Server SQL Injection,6.1,MEDIUM
FIND-00072,CVE-2022-61578,2025-02-03 06:24:03 PM,MySQL Authentication Bypass,7.8,HIGH
FIND-00073,CVE-2018-39288,2025-10-25 10:49:41 AM,Nginx Information Disclosure,9.8,CRITICAL
FIND-00074,CVE-2023-60296,2024-04-03 05:32:57 AM,MySQL SQL Injection,1.7,LOW
FIND-00075,CVE-2023-52487,2025-07-04 12:16:57 PM,Linux Kernel Authentication Bypass,5.2,MEDIUM
FIND-00076,CVE-2016-32894,2024-10-27 01:07:41 AM,Chrome Path Traversal,4.2,MEDIUM
FIND-00077,CVE-2023-92632,2025-12-04 02:21:19 AM,PostgreSQL Cross-Site Scripting,3.1,LOW
FIND-00078,CVE-2024-97818,2025-03-11 11:32:57 PM,Firefox SQL Injection,5.0,MEDIUM
FIND-00079,CVE-2020-26652,2024-08-26 02:34:24 PM,Kubernetes API Server Remote Code Execution,2.2,LOW
FIND-00080,CVE-2025-94467,2025-12-15 07:39:32 PM,VMware ESXi Insecure Deserialization,6.7,MEDIUM
FIND-00081,CVE-2020-24790,2025-10-09 07:48:49 PM,Windows Server Path Traversal,7.4,HIGH
FIND-00082,CVE-2014-78652,2024-07-01 07:42:44 AM,VMware ESXi Insecure Deserialization,3.2,LOW
FIND-00083,CVE-2025-48563,2024-03-11 11:48:46 PM,Chrome Privilege Escalation,3.7,LOW
FIND-00084,CVE-2017-94276,2025-11-11 02:51:42 AM,Apache HTTP Server SQL Injection,2.3,LOW
FIND-00085,CVE-2018-09406,2024-04-05 07:03:26 AM,Linux Kernel Information Disclosure,0.5,LOW
FIND-00086,CVE-2019-17350,2024-03-01 06:06:14 PM,Windows Server Directory Traversal,6.3,MEDIUM
FIND-00087,CVE-2017-49092,2024-06-03 05:44:12 PM,Nginx Remote Code Execution,2.6,LOW
FIND-00088,CVE-2024-60823,2024-04-07 11:33:39 PM,Microsoft Exchange Command Injection,8.9,HIGH
FIND-00089,CVE-2020-12705,2025-01-12 07:52:22 PM,Linux Kernel Command Injection,4.7,MEDIUM
FIND-00090,CVE-2025-21798,2025-10-31 06:54:52 PM,Docker Engine Authentication Bypass,0.5,LOW
FIND-00091,CVE-2020-63860,2024-08-05 09:30:26 AM,Firefox Path Traversal,9.2,CRITICAL
FIND-00092,CVE-2014-06424,2024-10-03 05:15:24 AM,Citrix ADC Directory Traversal,3.0,LOW
FIND-00093,CVE-2024-04067,2025-01-23 12:56:03 AM,Fortinet FortiOS Directory Traversal,5.7,MEDIUM
FIND-00094,CVE-2016-73989,2024-12-28 07:34:30 PM,Cisco ASA Insecure Deserialization,6.2,MEDIUM
FIND-00095,CVE-2022-89536,2024-10-01 05:34:07 PM,Kubernetes API Server Privilege Escalation,8.9,HIGH
FIND-00096,CVE-2018-92128,2025-12-19 11:38:34 PM,OpenSSL Command Injection,5.9,MEDIUM
FIND-00097,CVE-2021-86257,2024-02-03 11:45:52 PM,Docker Engine Privilege Escalation,1.0,LOW
FIND-00098,CVE-2019-63533,2025-07-07 09:40:46 AM,Citrix ADC Information Disclosure,4.4,MEDIUM
FIND-00099,CVE-2023-53434,2025-09-06 10:32:52 AM,Windows Server Information Disclosure,1.0,LOW
FIND-00100,CVE-2017-69397,2024-10-23 08:06:08 AM,VMware ESXi Path Traversal,2.5,LOW
