Type [icon|c],Remediation Name [link],Risk Score [r],Assets [r],Images [r],Vulnerabilites [r],Threat intel [link|r]
cloud,Patch Elasticsearch to 9.7.6,601,1735,948,171,7
cloud,Reconfigure OpenSSL with secure defaults,608,708,1329,1318,11
Onprem,Reconfigure BusyBox with secure defaults,410,7986,879,49,15
cloud,Rotate API keys and credentials,856,6863,30,260,15
Onprem,Apply cumulative security update KB2217534 for Windows 10,565,1459,212,266,13
Onprem,Rotate API keys and credentials,795,3908,895,528,19
Onprem,Remove vulnerable package and reinstall latest,37,4906,252,680,12
Onprem,Patch Windows Server to 2.17.22,883,4201,59,325,8
Onprem,Rotate API keys and credentials,834,4479,601,836,1
cloud,Enable MFA,909,5886,73,667,8
Onprem,Apply Red Hat security update KB8677872,740,6997,N/A,1401,4
cloud,Remove vulnerable package and reinstall latest,602,4193,106,1058,13
Onprem,Update App Service AMI image to 10.5.24,811,8819,490,856,7
Onprem,Update AKS AMI image to 7.16.2,835,3563,1400,497,3
cloud,Update Cloud Run AMI image to 7.9.4,760,3515,470,1427,9
cloud,Rotate API keys and credentials,603,5103,1119,266,7
cloud,Rotate API keys and credentials,626,5457,N/A,730,14
cloud,Reconfigure Ansible with secure defaults,650,279,1181,160,20
Onprem,Update EC2 AMI image to 7.18.7,963,3203,703,562,9
Onprem,Apply cumulative security update KB7971138 for Windows Server,642,9627,1325,571,2
Onprem,Disable Telnet,901,4981,1230,436,10
cloud,Update container base image to ubi9,979,8867,649,1233,18
cloud,Upgrade Docker to 9.18.29,629,675,1331,876,11
cloud,Apply Red Hat security update KB2129959,818,5090,1242,267,10
cloud,Update container base image to alpine:3.19,788,8424,N/A,1063,0
Onprem,Update container base image to ubi9,420,1177,1287,947,13
cloud,Remove vulnerable package and reinstall latest,629,2820,497,255,2
Onprem,Update AKS AMI image to 3.19.15,898,3803,449,1216,14
Onprem,Update EC2 AMI image to 7.4.28,723,886,309,1053,20
cloud,Upgrade Redis to 1.5.27,866,9383,771,1455,6
cloud,Patch NGINX to 7.2.7,116,301,253,276,18
cloud,Upgrade Ubuntu to 8.12.15,0,9675,742,608,2
cloud,Apply cumulative security update KB9773988 for Windows 11,712,9144,1435,401,20
cloud,Disable Telnet,887,7726,847,1125,5
cloud,Upgrade OpenJDK to 5.0.17,366,3587,458,775,4
cloud,Apply cumulative security update KB7155643 for Windows 11,896,8967,375,1231,14
Onprem,Upgrade OpenJDK to 4.2.12,682,808,174,893,4
cloud,Patch Redis to 10.0.22,864,11,N/A,848,3
cloud,Disable LLMNR,975,3485,123,1395,14
Onprem,Patch Java JRE to 6.17.5,930,5423,731,1308,17
cloud,Apply cumulative security update KB5261050 for Windows 11,72,2001,743,474,20
Onprem,Rotate API keys and credentials,978,1280,936,146,7
Onprem,Reconfigure Cisco IOS with secure defaults,708,8961,1065,312,20
cloud,Enable Disk Encryption,528,4601,N/A,1161,1
cloud,Disable TLS 1.1,713,2433,N/A,501,20
cloud,Patch OpenSSH to 5.5.19,862,2973,399,143,16
Onprem,Disable SMBv1,741,874,44,524,10
cloud,Upgrade .NET Runtime to 5.14.15,843,1343,793,139,12
Onprem,Update container base image to debian:12,1,6229,1128,1464,20
cloud,Update container base image to alpine:3.19,980,6396,159,1279,0
cloud,Rotate API keys and credentials,923,9518,82,405,8
cloud,Apply Oracle security update KB2721959,601,7495,N/A,1033,20
Onprem,Apply cumulative security update KB6180131 for Windows 11,860,698,260,818,7
Onprem,Upgrade OpenJDK to 8.6.5,790,2757,1076,736,0
Onprem,Patch Apache HTTP Server to 2.5.27,631,6135,341,125,15
cloud,Rotate API keys and credentials,816,1593,146,282,9
cloud,Patch Docker to 3.15.3,731,1471,1456,987,12
cloud,Update container base image to ubi9,732,4757,872,1053,8
Onprem,Upgrade Kubernetes to 2.10.12,947,8477,1296,286,1
