Case ID,Title [link],Created,Type,Severity [status],Status,Assignee,SLA,Progress [progress],Due date
INC-2025-0090,Anomalous Admin Account Creation,2025-05-08 23:01:24,Policy,Critical,Resolved,Taylor Chen,Breached,65%,2025-05-11 23:01:24
INC-2024-0091,Critical Vulnerability Exploit Attempt Detected,2024-09-22 06:48:54,Exposure,High,Investigation,Jordan Blake,Breached,71%,2024-09-25 06:48:54
INC-2025-0092,Unauthorized Cloud Console Login Attempt,2025-04-11 09:29:26,Exposure,High,Contained,Riley O'Connor,On track,59%,2025-05-01 09:29:26
INC-2024-0093,Brute Force Login Attempts Against VPN Portal,2024-10-25 16:23:38,Phishing,Medium,Investigation,Samir Patel,Breached,55%,2024-11-01 16:23:38
INC-2025-0094,Suspicious PowerShell Execution on Endpoint,2024-07-06 18:23:45,Custom,Critical,Investigation,Samir Patel,At risk,73%,2024-07-12 18:23:45
INC-2024-0095,Suspected Ransomware Attack - Production Environment,2025-03-24 01:15:13,Exposure,Critical,Investigation,Jordan Blake,Breached,99%,2025-03-30 01:15:13
INC-2025-0096,Malicious Macro Document Delivered to HR,2025-10-04 10:24:23,Policy,High,Investigation,Riley O'Connor,On track,35%,2025-10-16 10:24:23
INC-2025-0097,Unusual Lateral Movement Detected,2024-03-08 13:11:15,Exposure,High,Resolved,Morgan Lee,Breached,85%,2024-03-14 13:11:15
INC-2025-0098,Policy Violation - Unapproved SaaS Application,2025-01-24 03:22:58,Custom,High,Investigation,Samir Patel,On track,90%,2025-02-05 03:22:58
INC-2024-0099,Suspected Ransomware Attack - Production Environment,2025-04-16 21:14:29,Custom,Critical,Contained,Jordan Blake,At risk,44%,2025-04-20 21:14:29
INC-2025-0100,Policy Violation - Unapproved SaaS Application,2024-11-14 10:56:59,Phishing,High,Resolved,Riley O'Connor,At risk,56%,2024-11-21 10:56:59
