ID [link],Title,Risk Score [c],CVSS Score [c],Exploitable [boolean|c],EPSS Score [r],Affected Assets [link|r],Vulnerabilities [link|r],First Detected,Last Detected
CVE-2023-68960,Cisco ASA DNS Rebinding,5.21,2.4,True,63%,17,27,2024-10-30 06:24:52 PM,2024-11-20 06:24:52 PM
CVE-2020-22826,VMware ESXi Shell Injection,1.77,3.9,False,98%,53,36,2025-06-05 06:24:52 PM,2025-06-16 06:24:52 PM
CVE-2023-29055,Citrix ADC Directory Traversal,2.0,3.7,True,49%,9,31,2025-06-23 06:24:52 PM,2025-06-27 06:24:52 PM
CVE-2018-13103,F5 BIG-IP SSRF,9.03,3.9,False,67%,1,37,2024-08-10 06:24:52 PM,2024-08-20 06:24:52 PM
CVE-2023-81025,Drupal Remote Code Execution,5.7,0.2,True,54%,94,10,2025-04-19 06:24:52 PM,2025-06-03 06:24:52 PM
CVE-2021-76728,Jenkins Script Console Exposure,0.92,5.0,True,74%,101,36,2025-02-19 06:24:52 PM,2025-03-15 06:24:52 PM
CVE-2022-4006,Jira XML External Entity Injection,7.15,7.7,False,49%,50,6,2024-10-14 06:24:52 PM,2024-10-18 06:24:52 PM
CVE-2023-90501,Jira Server CSRF,2.79,4.4,True,60%,127,22,2024-03-22 02:57:46 AM,2024-05-13 02:57:46 AM
CVE-2020-90495,Apache HTTP Server SSRF,3.79,3.2,False,28%,76,5,2025-06-21 11:43:04 AM,2025-08-13 11:43:04 AM
CVE-2018-19983,Cisco ASA Access Control Bypass,3.03,0.4,True,57%,64,14,2025-11-09 06:57:45 PM,2025-11-14 06:57:45 PM
CVE-2024-105586,PHP-FPM SQL Injection,0.62,5.7,False,52%,133,16,2024-07-08 11:14:22 AM,2024-09-11 11:14:22 AM
CVE-2024-72514,Microsoft Exchange SSRF,0.06,5.5,False,20%,124,5,2025-06-24 10:26:39 AM,2025-09-24 10:26:39 AM
CVE-2024-96407,Firefox Browser Insecure Default Config,8.66,1.5,True,68%,62,10,2025-07-03 08:20:17 PM,2025-09-21 08:20:17 PM
CVE-2025-71107,Adobe Acrobat Deserialization Vulnerability,2.22,7.9,False,24%,39,2,2024-02-03 08:03:48 PM,2024-02-14 08:03:48 PM
CVE-2023-34825,Cisco ASA Information Disclosure,3.37,5.3,False,12%,28,12,2025-01-31 03:50:50 AM,2025-03-02 03:50:50 AM
CVE-2024-43450,Zimbra Mail Deserialization Vulnerability,8.18,2.4,False,38%,140,29,2025-03-10 08:40:21 PM,2025-05-02 08:40:21 PM
CVE-2025-15144,F5 BIG-IP Authentication Bypass,4.63,8.5,False,07%,16,32,2024-10-07 03:38:15 PM,2024-10-28 03:38:15 PM
CVE-2017-29860,Apache HTTP Server Remote Code Execution,5.52,7.9,False,89%,83,15,2025-09-16 02:55:07 AM,2025-11-19 02:55:07 AM
CVE-2018-62828,Microsoft Exchange Remote Code Execution,8.2,6.6,False,38%,70,25,2024-05-25 09:15:43 PM,2024-06-30 09:15:43 PM
CVE-2020-90167,OpenSSL Path Traversal,2.89,5.7,False,58%,119,30,2025-07-03 06:04:31 AM,2025-09-27 06:04:31 AM
CVE-2021-45311,OpenSSL Cross-Site Scripting,8.18,0.4,False,19%,141,25,2024-12-26 04:29:53 AM,2025-02-14 04:29:53 AM
CVE-2024-26968,Drupal Core Access Control Bypass,6.02,9.7,False,65%,41,35,2024-06-11 02:54:42 AM,2024-07-17 02:54:42 AM
CVE-2016-101202,F5 BIG-IP Deserialization Vulnerability,5.66,5.5,True,26%,98,28,2025-04-04 02:11:01 AM,2025-06-17 02:11:01 AM
CVE-2020-91756,Docker Engine Authentication Bypass,1,1.8,False,30%,146,5,2024-11-04 09:51:36 AM,2025-02-24 09:51:36 AM
CVE-2017-27184,Windows Server Cross-Site Scripting,8.46,3.6,True,40%,80,30,2024-07-16 02:51:35 AM,2024-09-12 02:51:35 AM
CVE-2018-20221,F5 BIG-IP Privilege Escalation,5.71,10,True,55%,133,18,2025-08-14 06:16:28 AM,2025-09-23 06:16:28 AM
CVE-2016-101920,Kubernetes API Server XML External Entity Injection,4.09,4.6,False,87%,97,22,2025-06-17 02:21:27 PM,2025-09-29 02:21:27 PM
CVE-2015-87616,PHP-FPM SQL Injection,6.33,1.3,True,22%,22,22,2025-12-24 01:43:43 PM,2025-02-15 01:43:43 PM
CVE-2015-65687,Docker Engine Path Traversal,9.02,3.5,False,36%,93,9,2025-06-09 09:32:43 AM,2025-06-11 09:32:43 AM
CVE-2016-42682,Adobe Acrobat Use-After-Free,6.16,6.4,True,07%,53,22,2025-05-11 07:27:43 AM,2025-06-04 07:27:43 AM
CVE-2021-30108,Zimbra Mail Directory Traversal,0.84,7.5,True,35%,85,8,2024-05-29 01:23:15 AM,2024-08-11 01:23:15 AM
CVE-2020-22428,Linux Kernel Cross-Site Scripting,1.38,7.4,False,87%,46,2,2025-01-25 01:33:42 PM,2025-02-18 01:33:42 PM
CVE-2016-21879,Windows Server Privilege Escalation,3.72,6.7,True,53%,131,34,2024-04-20 09:04:06 AM,2024-07-23 09:04:06 AM
CVE-2023-79391,PHP-FPM SQL Injection,8.39,1.3,True,00%,20,34,2025-12-09 10:46:21 PM,2025-12-18 10:46:21 PM
CVE-2015-85130,Cisco ASA Remote Code Execution,4.61,1.4,False,24%,9,39,2024-01-22 04:56:45 PM,2024-04-12 04:56:45 PM
CVE-2018-65945,Fortinet SSL VPN CSRF,2.87,1,False,32%,55,36,2025-09-01 09:25:33 AM,2025-11-05 09:25:33 AM
CVE-2018-94561,Log4j Library Memory Corruption,0.76,9.3,False,07%,109,1,2025-09-02 10:17:40 AM,2025-09-21 10:17:40 AM
CVE-2022-90615,Zimbra Mail Privilege Escalation,9.47,1.6,True,29%,129,24,2024-10-09 02:23:59 PM,2024-11-08 02:23:59 PM
CVE-2020-11996,Jira Server Memory Corruption,9.98,3.9,False,50%,30,28,2025-03-07 02:26:43 PM,2025-03-11 02:26:43 PM
CVE-2015-65233,Nginx Use-After-Free,0.94,5.9,True,15%,25,22,2024-04-13 07:14:29 PM,2024-04-13 07:14:29 PM
CVE-2018-32797,F5 BIG-IP Authentication Bypass,5.54,0.5,True,47%,36,29,2025-08-31 04:28:15 AM,2025-09-21 04:28:15 AM
CVE-2016-90054,F5 BIG-IP Information Disclosure,1.05,5,True,61%,110,30,2024-03-29 12:06:38 AM,2024-07-10 12:06:38 AM
CVE-2015-27787,Jira Server CSRF,0.06,5.1,True,79%,71,33,2025-04-06 04:30:55 AM,2025-06-13 04:30:55 AM
CVE-2022-84579,F5 BIG-IP SSRF,0.21,4.5,True,03%,2,31,2024-10-21 02:06:29 AM,2024-11-15 02:06:29 AM
CVE-2021-46333,Adobe Acrobat Directory Traversal,9.75,8.5,False,54%,58,24,2025-09-23 05:26:52 AM,2025-01-19 05:26:52 AM
CVE-2016-66061,Citrix ADC Deserialization Vulnerability,1.66,6.6,False,54%,123,37,2025-02-27 03:11:30 PM,2025-05-07 03:11:30 PM
CVE-2018-46746,Apache HTTP Server Path Traversal,2.49,10,False,70%,24,36,2025-05-24 05:32:27 AM,2025-07-20 05:32:27 AM
CVE-2017-66810,PHP-FPM Access Control Bypass,8.09,5.1,False,85%,23,32,2024-12-03 04:29:01 PM,2024-12-05 04:29:01 PM
CVE-2015-40674,Jenkins Controller SQL Injection,6.63,8.8,True,43%,77,19,2024-11-27 01:36:59 PM,2024-12-10 01:36:59 PM
CVE-2024-67237,Windows Server CSRF,6.64,0.7,True,22%,114,7,2024-04-11 09:22:13 PM,2024-08-04 09:22:13 PM
CVE-2024-87864,OpenSSL Authentication Bypass,7.43,0.9,True,66%,142,27,2024-10-12 10:31:43 PM,2024-11-25 10:31:43 PM
CVE-2024-92498,F5 BIG-IP Remote Code Execution,0.04,2.1,True,85%,83,21,2025-01-06 08:43:02 AM,2025-04-17 08:43:02 AM
CVE-2024-83696,Drupal Core Use-After-Free,6.69,9.5,False,22%,39,39,2025-01-26 01:44:42 PM,2025-04-08 01:44:42 PM
CVE-2017-30241,Linux Kernel Memory Corruption,4.37,2.5,False,86%,62,1,2025-03-30 02:15:27 PM,2025-04-01 02:15:27 PM
CVE-2018-63226,Jira Server Use-After-Free,0.87,5.8,True,32%,149,14,2025-09-04 12:23:30 PM,2025-09-11 12:23:30 PM
CVE-2023-90854,Zimbra Mail Directory Traversal,0.58,0.6,True,67%,91,15,2024-08-06 08:12:12 AM,2024-10-22 08:12:12 AM
CVE-2021-75365,Citrix ADC Insecure Default Config,3.85,5,True,28%,81,37,2025-08-01 03:24:02 AM,2025-10-02 03:24:02 AM
CVE-2025-24055,Zimbra Mail Command Injection,4.75,9.2,True,17%,48,14,2024-03-14 11:05:16 PM,2024-06-06 11:05:16 PM
CVE-2020-76895,Citrix ADC Access Control Bypass,5.75,7.4,True,59%,89,18,2024-02-04 09:39:09 PM,2024-02-09 09:39:09 PM
CVE-2023-41962,Java Spring Boot CSRF,2.44,6.5,True,70%,97,19,2025-02-09 10:24:40 AM,2025-03-04 10:24:40 AM
CVE-2023-44611,Kubernetes API Server SQL Injection,1.42,0.2,True,05%,101,14,2025-02-23 01:02:28 AM,2025-03-11 01:02:28 AM
CVE-2021-103811,Drupal Core XML External Entity Injection,0.64,7.8,True,75%,111,5,2024-05-31 08:38:55 AM,2024-08-25 08:38:55 AM
CVE-2025-77832,Linux Kernel Authentication Bypass,9.42,0.9,True,40%,148,36,2024-01-14 03:12:30 AM,2024-02-28 03:12:30 AM
CVE-2021-90600,PHP-FPM SQL Injection,7.08,8.9,False,50%,106,3,2024-08-01 08:30:37 AM,2024-10-26 08:30:37 AM
CVE-2016-16793,Jira Server Information Disclosure,5.95,2.2,True,69%,76,28,2024-05-05 07:55:23 PM,2024-05-24 07:55:23 PM
CVE-2015-27687,VMware ESXi XML External Entity Injection,9.5,9.6,True,29%,71,18,2025-05-26 02:28:25 PM,2025-08-10 02:28:25 PM
CVE-2023-43516,Log4j Library Cross-Site Scripting,9.1,6.1,False,61%,120,9,2024-01-20 12:14:56 AM,2024-02-29 12:14:56 AM
CVE-2015-75324,Adobe Acrobat Deserialization Vulnerability,4.36,2.8,False,48%,32,38,2025-12-13 07:37:59 AM,2025-12-13 07:37:59 AM
CVE-2022-91504,Log4j Library XML External Entity Injection,5.67,6.3,True,70%,43,28,2025-12-30 02:43:47 AM,2025-04-19 02:43:47 AM
CVE-2017-100250,Firefox Browser XML External Entity Injection,5.09,1.8,False,56%,37,18,2024-07-30 05:50:44 PM,2024-11-07 05:50:44 PM
CVE-2017-76460,PHP-FPM Information Disclosure,0.88,1,True,55%,99,24,2025-08-18 03:31:01 PM,2025-11-03 03:31:01 PM
CVE-2022-91808,Firefox Browser Remote Code Execution,0.24,3.9,False,36%,109,39,2024-11-10 11:40:28 PM,2025-01-16 11:40:28 PM
CVE-2022-20421,Microsoft Exchange Path Traversal,2.06,4.9,False,44%,40,23,2024-06-16 07:03:50 PM,2024-07-18 07:03:50 PM
CVE-2016-102626,Zimbra Mail Information Disclosure,9.66,2,True,97%,46,10,2025-07-14 05:59:17 PM,2025-09-23 05:59:17 PM
CVE-2024-54017,Citrix ADC Information Disclosure,4.54,9.2,True,86%,133,37,2024-05-10 06:09:34 AM,2024-07-06 06:09:34 AM
CVE-2022-85413,Jira Server Memory Corruption,2.51,4.8,False,76%,103,14,2024-11-26 03:13:42 AM,2024-12-17 03:13:42 AM
CVE-2016-21050,Drupal Core Use-After-Free,5.28,7.9,True,29%,134,35,2025-12-07 10:18:18 PM,2025-12-13 10:18:18 PM
CVE-2017-25177,Firefox Browser Directory Traversal,4.82,2.4,True,15%,38,8,2024-04-08 09:12:40 AM,2024-05-01 09:12:40 AM
CVE-2018-91708,PHP-FPM Cross-Site Scripting,2.24,9.7,False,37%,102,24,2024-06-28 01:19:58 AM,2024-09-27 01:19:58 AM
CVE-2017-40146,Apache HTTP Server XML External Entity Injection,8.43,2.8,True,55%,80,22,2024-01-29 07:14:20 AM,2024-04-19 07:14:20 AM
CVE-2022-97594,VMware ESXi Information Disclosure,3.72,1.3,False,15%,64,22,2025-11-13 05:32:51 AM,2025-01-27 05:32:51 AM
CVE-2022-97846,Firefox Browser Command Injection,7.55,8.8,True,48%,49,29,2025-05-12 09:58:51 AM,2025-06-05 09:58:51 AM
