finding_id,detection_id,cve_id,asset_id,source,proof,first_detected,reintroduced,last_detected,software_name,software_version
FIND-00013,DET-00038,CVE-2019-73402,ASSET-00007,InsightIDR,Evidence of CVE-2019-73402 on ASSET-00007 via InsightIDR,2023-12-04 06:15:43 PM,,2024-02-04 06:15:43 PM,Nginx,8.15.3
FIND-00014,DET-00019,CVE-2015-59289,ASSET-00048,InsightIDR,Evidence of CVE-2015-59289 on ASSET-00048 via InsightIDR,2023-12-22 10:47:02 AM,2024-01-11 10:47:02 AM,2024-01-20 10:47:02 AM,Ubuntu Linux,3.13.1
FIND-00015,DET-00005,CVE-2025-06583,ASSET-00090,Agent,Evidence of CVE-2025-06583 on ASSET-00090 via Agent,2024-07-26 01:26:28 AM,,2024-11-15 01:26:28 AM,Nginx,14.0.0
FIND-00016,DET-00039,CVE-2014-10812,ASSET-00108,Manual,Evidence of CVE-2014-10812 on ASSET-00108 via Manual,2023-10-12 06:16:45 PM,2023-12-11 06:16:45 PM,2024-01-21 06:16:45 PM,PostgreSQL,6.4.3
FIND-00017,DET-00030,CVE-2014-36843,ASSET-00177,Agent,Evidence of CVE-2014-36843 on ASSET-00177 via Agent,2023-11-04 01:37:39 PM,,2023-11-26 01:37:39 PM,MySQL,10.8.6
FIND-00018,DET-00011,CVE-2022-30166,ASSET-00104,InsightIDR,Evidence of CVE-2022-30166 on ASSET-00104 via InsightIDR,2023-12-29 11:51:29 PM,2024-03-16 11:51:29 PM,2024-04-23 11:51:29 PM,Microsoft Exchange,13.20.3
FIND-00019,DET-00003,CVE-2022-13512,ASSET-00008,SIEM,Evidence of CVE-2022-13512 on ASSET-00008 via SIEM,2024-03-24 09:24:26 AM,2024-06-21 09:24:26 AM,2024-07-16 09:24:26 AM,Java Runtime,4.14.7
FIND-00020,DET-00022,CVE-2023-82726,ASSET-00131,InsightVM,Evidence of CVE-2023-82726 on ASSET-00131 via InsightVM,2025-04-27 04:55:19 PM,2025-06-13 04:55:19 PM,2025-07-16 04:55:19 PM,Firefox,8.10.6
FIND-00021,DET-00009,CVE-2024-33630,ASSET-00167,InsightIDR,Evidence of CVE-2024-33630 on ASSET-00167 via InsightIDR,2024-08-28 08:05:30 PM,2024-11-11 08:05:30 PM,2024-12-02 08:05:30 PM,Chrome,10.20.4
FIND-00022,DET-00005,CVE-2020-44872,ASSET-00083,Scanner,Evidence of CVE-2020-44872 on ASSET-00083 via Scanner,2023-08-28 11:05:12 AM,2023-11-07 11:05:12 AM,2023-12-22 11:05:12 AM,OpenSSL,7.10.9
FIND-00023,DET-00040,CVE-2023-14292,ASSET-00167,Scanner,Evidence of CVE-2023-14292 on ASSET-00167 via Scanner,2024-11-03 04:21:01 PM,2025-01-28 04:21:01 PM,2025-03-07 04:21:01 PM,Apache HTTP Server,11.8.10
FIND-00024,DET-00011,CVE-2016-22659,ASSET-00072,Scanner,Evidence of CVE-2016-22659 on ASSET-00072 via Scanner,2025-01-30 05:37:30 PM,,2025-02-19 05:37:30 PM,MySQL,14.20.7
FIND-00025,DET-00009,CVE-2016-91711,ASSET-00066,SIEM,Evidence of CVE-2016-91711 on ASSET-00066 via SIEM,2024-06-13 08:09:27 PM,2024-06-25 08:09:27 PM,2024-08-24 08:09:27 PM,MySQL,7.8.10
FIND-00026,DET-00018,CVE-2024-63255,ASSET-00172,Agent,Evidence of CVE-2024-63255 on ASSET-00172 via Agent,2025-11-25 03:28:41 PM,2026-02-05 03:28:41 PM,2026-03-02 03:28:41 PM,PostgreSQL,6.16.7
FIND-00027,DET-00010,CVE-2018-48866,ASSET-00185,InsightVM,Evidence of CVE-2018-48866 on ASSET-00185 via InsightVM,2023-02-25 12:16:28 PM,2023-04-06 12:16:28 PM,2023-05-21 12:16:28 PM,Microsoft Exchange,1.0.10
FIND-00028,DET-00024,CVE-2020-51571,ASSET-00164,SIEM,Evidence of CVE-2020-51571 on ASSET-00164 via SIEM,2024-12-01 09:16:43 AM,2025-02-27 09:16:43 AM,2025-03-15 09:16:43 AM,PostgreSQL,5.18.8
FIND-00029,DET-00026,CVE-2016-03354,ASSET-00047,InsightVM,Evidence of CVE-2016-03354 on ASSET-00047 via InsightVM,2023-09-15 02:36:49 PM,2023-12-13 02:36:49 PM,2024-01-06 02:36:49 PM,Ubuntu Linux,8.14.1
FIND-00030,DET-00028,CVE-2022-93705,ASSET-00045,SIEM,Evidence of CVE-2022-93705 on ASSET-00045 via SIEM,2023-12-23 06:13:47 AM,2024-01-06 06:13:47 AM,2024-01-18 06:13:47 AM,OpenSSL,11.8.1
FIND-00031,DET-00002,CVE-2016-25896,ASSET-00156,Agent,Evidence of CVE-2016-25896 on ASSET-00156 via Agent,2024-06-23 05:51:16 PM,,2024-08-20 05:51:16 PM,Java Runtime,14.1.6
FIND-00032,DET-00011,CVE-2023-44372,ASSET-00095,InsightIDR,Evidence of CVE-2023-44372 on ASSET-00095 via InsightIDR,2025-10-22 11:35:19 AM,,2026-01-21 11:35:19 AM,PostgreSQL,1.13.9
FIND-00033,DET-00021,CVE-2019-12997,ASSET-00047,SIEM,Evidence of CVE-2019-12997 on ASSET-00047 via SIEM,2024-10-10 07:54:47 PM,,2024-12-23 07:54:47 PM,Docker Engine,3.1.2
FIND-00034,DET-00019,CVE-2014-30492,ASSET-00079,Agent,Evidence of CVE-2014-30492 on ASSET-00079 via Agent,2023-06-04 06:59:21 PM,,2023-07-20 06:59:21 PM,Apache HTTP Server,5.10.0
FIND-00035,DET-00024,CVE-2016-65953,ASSET-00157,Manual,Evidence of CVE-2016-65953 on ASSET-00157 via Manual,2023-12-02 06:20:03 AM,2024-02-24 06:20:03 AM,2024-03-20 06:20:03 AM,OpenSSL,12.14.4
FIND-00036,DET-00011,CVE-2018-17058,ASSET-00046,SIEM,Evidence of CVE-2018-17058 on ASSET-00046 via SIEM,2024-11-21 04:18:38 AM,2025-01-26 04:18:38 AM,2025-02-06 04:18:38 AM,MySQL,12.14.7
FIND-00037,DET-00012,CVE-2021-39468,ASSET-00188,SIEM,Evidence of CVE-2021-39468 on ASSET-00188 via SIEM,2023-05-18 11:24:49 PM,2023-07-28 11:24:49 PM,2023-08-02 11:24:49 PM,Chrome,4.20.5
FIND-00038,DET-00012,CVE-2017-68355,ASSET-00060,Agent,Evidence of CVE-2017-68355 on ASSET-00060 via Agent,2025-11-10 08:44:17 PM,,2026-01-27 08:44:17 PM,Nginx,7.16.9
FIND-00039,DET-00016,CVE-2017-39202,ASSET-00167,Scanner,Evidence of CVE-2017-39202 on ASSET-00167 via Scanner,2024-08-15 01:35:57 PM,,2024-09-09 01:35:57 PM,Ubuntu Linux,15.16.1
FIND-00040,DET-00034,CVE-2020-18604,ASSET-00198,Manual,Evidence of CVE-2020-18604 on ASSET-00198 via Manual,2025-03-29 02:00:36 AM,2025-06-19 02:00:36 AM,2025-07-10 02:00:36 AM,Microsoft Exchange,1.20.4
FIND-00041,DET-00031,CVE-2022-64105,ASSET-00059,InsightVM,Evidence of CVE-2022-64105 on ASSET-00059 via InsightVM,2024-12-18 07:07:54 AM,2025-02-09 07:07:54 AM,2025-03-12 07:07:54 AM,Java Runtime,10.2.6
FIND-00042,DET-00036,CVE-2025-87617,ASSET-00185,Scanner,Evidence of CVE-2025-87617 on ASSET-00185 via Scanner,2023-08-31 12:21:24 AM,,2023-10-03 12:21:24 AM,PostgreSQL,13.4.10
FIND-00043,DET-00007,CVE-2019-19774,ASSET-00096,Scanner,Evidence of CVE-2019-19774 on ASSET-00096 via Scanner,2025-07-11 12:02:41 PM,,2025-09-06 12:02:41 PM,OpenSSL,5.15.6
FIND-00044,DET-00016,CVE-2018-86283,ASSET-00054,InsightVM,Evidence of CVE-2018-86283 on ASSET-00054 via InsightVM,2023-06-28 07:22:56 PM,2023-07-30 07:22:56 PM,2023-09-19 07:22:56 PM,Nginx,9.17.1
FIND-00045,DET-00015,CVE-2021-28253,ASSET-00004,InsightVM,Evidence of CVE-2021-28253 on ASSET-00004 via InsightVM,2024-01-21 04:41:47 PM,2024-04-09 04:41:47 PM,2024-04-21 04:41:47 PM,Chrome,13.0.4
FIND-00046,DET-00034,CVE-2023-14962,ASSET-00196,SIEM,Evidence of CVE-2023-14962 on ASSET-00196 via SIEM,2025-11-29 07:09:41 AM,2026-01-25 07:09:41 AM,2026-03-15 07:09:41 AM,Docker Engine,9.15.5
FIND-00047,DET-00033,CVE-2018-85314,ASSET-00135,Agent,Evidence of CVE-2018-85314 on ASSET-00135 via Agent,2025-10-23 08:45:34 PM,,2025-11-21 08:45:34 PM,Firefox,13.15.9
FIND-00048,DET-00024,CVE-2016-10976,ASSET-00069,SIEM,Evidence of CVE-2016-10976 on ASSET-00069 via SIEM,2024-04-23 11:52:17 AM,2024-06-28 11:52:17 AM,2024-08-22 11:52:17 AM,MySQL,6.8.5
FIND-00049,DET-00039,CVE-2016-34467,ASSET-00196,Scanner,Evidence of CVE-2016-34467 on ASSET-00196 via Scanner,2024-06-01 06:56:10 AM,2024-08-25 06:56:10 AM,2024-10-11 06:56:10 AM,PostgreSQL,3.4.1
FIND-00050,DET-00013,CVE-2016-53602,ASSET-00155,InsightVM,Evidence of CVE-2016-53602 on ASSET-00155 via InsightVM,2024-03-14 06:18:55 AM,2024-04-21 06:18:55 AM,2024-06-12 06:18:55 AM,Apache HTTP Server,2.3.6
FIND-00051,DET-00038,CVE-2020-40821,ASSET-00062,InsightVM,Evidence of CVE-2020-40821 on ASSET-00062 via InsightVM,2023-10-29 02:02:29 PM,2023-12-22 02:02:29 PM,2024-01-21 02:02:29 PM,Windows Server,12.20.10
FIND-00052,DET-00008,CVE-2014-82850,ASSET-00145,SIEM,Evidence of CVE-2014-82850 on ASSET-00145 via SIEM,2025-11-08 10:49:24 AM,,2025-12-21 10:49:24 AM,Ubuntu Linux,7.0.10
FIND-00053,DET-00007,CVE-2022-52570,ASSET-00118,Agent,Evidence of CVE-2022-52570 on ASSET-00118 via Agent,2024-12-19 10:34:21 AM,,2025-03-09 10:34:21 AM,Docker Engine,7.8.10
FIND-00054,DET-00015,CVE-2017-75203,ASSET-00118,Scanner,Evidence of CVE-2017-75203 on ASSET-00118 via Scanner,2024-10-03 06:54:27 PM,2024-11-27 06:54:27 PM,2024-12-25 06:54:27 PM,Java Runtime,12.7.0
FIND-00055,DET-00009,CVE-2023-97353,ASSET-00056,InsightIDR,Evidence of CVE-2023-97353 on ASSET-00056 via InsightIDR,2025-09-04 05:45:01 PM,2025-10-01 05:45:01 PM,2025-10-23 05:45:01 PM,Ubuntu Linux,7.14.5
FIND-00056,DET-00005,CVE-2021-42436,ASSET-00018,InsightIDR,Evidence of CVE-2021-42436 on ASSET-00018 via InsightIDR,2023-06-24 06:40:35 AM,,2023-08-24 06:40:35 AM,MySQL,1.18.3
FIND-00057,DET-00030,CVE-2024-32725,ASSET-00018,Agent,Evidence of CVE-2024-32725 on ASSET-00018 via Agent,2024-02-23 05:03:52 PM,,2024-06-21 05:03:52 PM,Chrome,3.6.8
FIND-00058,DET-00025,CVE-2025-87558,ASSET-00016,InsightIDR,Evidence of CVE-2025-87558 on ASSET-00016 via InsightIDR,2025-10-24 06:52:07 AM,2025-11-25 06:52:07 AM,2026-01-20 06:52:07 AM,Ubuntu Linux,2.12.8
FIND-00059,DET-00017,CVE-2021-76491,ASSET-00034,Scanner,Evidence of CVE-2021-76491 on ASSET-00034 via Scanner,2024-09-30 04:33:12 AM,,2024-12-05 04:33:12 AM,Windows Server,7.7.2
FIND-00060,DET-00009,CVE-2024-36823,ASSET-00037,SIEM,Evidence of CVE-2024-36823 on ASSET-00037 via SIEM,2024-01-03 07:30:29 AM,2024-03-29 07:30:29 AM,2024-04-11 07:30:29 AM,Java Runtime,13.18.8
FIND-00061,DET-00006,CVE-2024-53360,ASSET-00083,InsightVM,Evidence of CVE-2024-53360 on ASSET-00083 via InsightVM,2025-06-13 10:07:13 PM,2025-06-27 10:07:13 PM,2025-07-18 10:07:13 PM,MySQL,15.9.4
FIND-00062,DET-00001,CVE-2020-04164,ASSET-00023,Scanner,Evidence of CVE-2020-04164 on ASSET-00023 via Scanner,2024-11-24 06:53:48 AM,2024-12-15 06:53:48 AM,2024-12-23 06:53:48 AM,OpenSSL,13.12.4
FIND-00063,DET-00020,CVE-2023-12953,ASSET-00123,InsightVM,Evidence of CVE-2023-12953 on ASSET-00123 via InsightVM,2024-07-29 07:40:04 PM,2024-09-11 07:40:04 PM,2024-09-17 07:40:04 PM,Kubernetes API Server,11.1.0
FIND-00064,DET-00025,CVE-2014-20727,ASSET-00087,Scanner,Evidence of CVE-2014-20727 on ASSET-00087 via Scanner,2024-03-01 04:49:37 PM,2024-05-19 04:49:37 PM,2024-05-25 04:49:37 PM,OpenSSL,1.2.8
FIND-00065,DET-00026,CVE-2018-58755,ASSET-00089,Scanner,Evidence of CVE-2018-58755 on ASSET-00089 via Scanner,2023-11-09 01:42:11 AM,2023-11-16 01:42:11 AM,2023-12-06 01:42:11 AM,Ubuntu Linux,4.3.2
FIND-00066,DET-00029,CVE-2020-79641,ASSET-00071,InsightVM,Evidence of CVE-2020-79641 on ASSET-00071 via InsightVM,2024-10-13 05:32:40 AM,,2025-01-14 05:32:40 AM,Java Runtime,7.12.9
FIND-00067,DET-00039,CVE-2023-60996,ASSET-00050,Manual,Evidence of CVE-2023-60996 on ASSET-00050 via Manual,2023-02-03 02:37:10 PM,,2023-03-05 02:37:10 PM,PostgreSQL,2.15.0
FIND-00068,DET-00037,CVE-2018-61983,ASSET-00146,Scanner,Evidence of CVE-2018-61983 on ASSET-00146 via Scanner,2024-09-01 06:21:33 PM,2024-11-16 06:21:33 PM,2024-12-13 06:21:33 PM,PostgreSQL,11.17.7
FIND-00069,DET-00038,CVE-2018-75502,ASSET-00194,Scanner,Evidence of CVE-2018-75502 on ASSET-00194 via Scanner,2023-07-30 11:40:51 PM,,2023-11-09 11:40:51 PM,Apache HTTP Server,9.17.0
FIND-00070,DET-00015,CVE-2017-06620,ASSET-00013,InsightIDR,Evidence of CVE-2017-06620 on ASSET-00013 via InsightIDR,2025-11-22 12:56:40 PM,2026-02-13 12:56:40 PM,2026-03-05 12:56:40 PM,PostgreSQL,9.7.4
FIND-00071,DET-00008,CVE-2025-45016,ASSET-00037,InsightIDR,Evidence of CVE-2025-45016 on ASSET-00037 via InsightIDR,2024-11-23 05:34:51 AM,2024-12-16 05:34:51 AM,2025-01-01 05:34:51 AM,Windows Server,12.15.6
FIND-00072,DET-00011,CVE-2024-13688,ASSET-00055,InsightIDR,Evidence of CVE-2024-13688 on ASSET-00055 via InsightIDR,2025-08-31 08:33:39 PM,2025-11-14 08:33:39 PM,2026-01-09 08:33:39 PM,Apache HTTP Server,10.17.1
FIND-00073,DET-00010,CVE-2023-16032,ASSET-00068,InsightVM,Evidence of CVE-2023-16032 on ASSET-00068 via InsightVM,2023-07-27 10:09:51 PM,,2023-09-10 10:09:51 PM,Chrome,5.15.7
FIND-00074,DET-00038,CVE-2015-91590,ASSET-00027,Manual,Evidence of CVE-2015-91590 on ASSET-00027 via Manual,2025-03-18 12:26:45 AM,2025-03-23 12:26:45 AM,2025-05-20 12:26:45 AM,MySQL,6.0.7
FIND-00075,DET-00003,CVE-2017-83446,ASSET-00006,Scanner,Evidence of CVE-2017-83446 on ASSET-00006 via Scanner,2024-07-11 02:42:46 PM,2024-07-25 02:42:46 PM,2024-09-15 02:42:46 PM,Windows Server,12.4.2
FIND-00076,DET-00012,CVE-2017-68285,ASSET-00092,InsightIDR,Evidence of CVE-2017-68285 on ASSET-00092 via InsightIDR,2025-11-20 07:57:26 PM,,2026-01-09 07:57:26 PM,MySQL,7.18.6
FIND-00077,DET-00031,CVE-2014-44063,ASSET-00177,Manual,Evidence of CVE-2014-44063 on ASSET-00177 via Manual,2025-01-27 09:27:17 PM,2025-03-22 09:27:17 PM,2025-04-12 09:27:17 PM,Windows Server,14.5.0
FIND-00078,DET-00006,CVE-2024-05953,ASSET-00026,SIEM,Evidence of CVE-2024-05953 on ASSET-00026 via SIEM,2025-10-07 08:01:18 AM,2025-12-11 08:01:18 AM,2026-02-02 08:01:18 AM,Apache HTTP Server,13.4.4
FIND-00079,DET-00011,CVE-2019-02709,ASSET-00099,SIEM,Evidence of CVE-2019-02709 on ASSET-00099 via SIEM,2025-01-15 04:40:25 AM,2025-04-12 04:40:25 AM,2025-04-19 04:40:25 AM,Firefox,6.11.8
FIND-00080,DET-00013,CVE-2014-32611,ASSET-00117,Manual,Evidence of CVE-2014-32611 on ASSET-00117 via Manual,2023-08-11 09:19:36 AM,2023-10-25 09:19:36 AM,2023-12-12 09:19:36 AM,Windows Server,11.9.7
FIND-00081,DET-00031,CVE-2018-82522,ASSET-00078,Agent,Evidence of CVE-2018-82522 on ASSET-00078 via Agent,2025-03-17 02:34:18 PM,,2025-07-13 02:34:18 PM,PostgreSQL,8.14.5
FIND-00082,DET-00034,CVE-2015-52579,ASSET-00031,SIEM,Evidence of CVE-2015-52579 on ASSET-00031 via SIEM,2024-02-25 02:47:28 AM,,2024-02-29 02:47:28 AM,Firefox,3.20.5
FIND-00083,DET-00039,CVE-2023-80070,ASSET-00102,Scanner,Evidence of CVE-2023-80070 on ASSET-00102 via Scanner,2025-06-30 04:41:07 AM,,2025-07-14 04:41:07 AM,Ubuntu Linux,12.4.9
FIND-00084,DET-00032,CVE-2020-53464,ASSET-00049,Scanner,Evidence of CVE-2020-53464 on ASSET-00049 via Scanner,2023-10-13 12:31:35 AM,,2023-10-17 12:31:35 AM,Nginx,5.3.7
FIND-00085,DET-00021,CVE-2017-14709,ASSET-00196,InsightIDR,Evidence of CVE-2017-14709 on ASSET-00196 via InsightIDR,2024-09-06 12:04:48 PM,,2024-12-26 12:04:48 PM,MySQL,15.9.3
FIND-00086,DET-00038,CVE-2022-28476,ASSET-00144,InsightIDR,Evidence of CVE-2022-28476 on ASSET-00144 via InsightIDR,2023-03-22 09:30:54 AM,,2023-04-08 09:30:54 AM,Nginx,15.1.1
FIND-00087,DET-00006,CVE-2023-74911,ASSET-00161,Scanner,Evidence of CVE-2023-74911 on ASSET-00161 via Scanner,2025-05-27 05:58:02 PM,,2025-07-10 05:58:02 PM,Chrome,12.10.2
FIND-00088,DET-00016,CVE-2022-56277,ASSET-00034,InsightVM,Evidence of CVE-2022-56277 on ASSET-00034 via InsightVM,2025-04-20 02:19:26 PM,2025-07-02 02:19:26 PM,2025-07-17 02:19:26 PM,Chrome,3.7.3
FIND-00089,DET-00018,CVE-2015-02687,ASSET-00130,Scanner,Evidence of CVE-2015-02687 on ASSET-00130 via Scanner,2025-07-01 05:00:00 PM,,2025-07-22 05:00:00 PM,Kubernetes API Server,5.20.1
FIND-00090,DET-00020,CVE-2015-91548,ASSET-00148,InsightIDR,Evidence of CVE-2015-91548 on ASSET-00148 via InsightIDR,2025-05-25 06:06:45 PM,2025-06-03 06:06:45 PM,2025-07-09 06:06:45 PM,Apache HTTP Server,4.9.9
FIND-00091,DET-00022,CVE-2017-32251,ASSET-00087,InsightVM,Evidence of CVE-2017-32251 on ASSET-00087 via InsightVM,2024-01-23 11:51:19 AM,2024-02-26 11:51:19 AM,2024-03-30 11:51:19 AM,Kubernetes API Server,14.19.5
FIND-00092,DET-00027,CVE-2020-74027,ASSET-00099,Manual,Evidence of CVE-2020-74027 on ASSET-00099 via Manual,2023-09-24 09:59:01 PM,2023-10-21 09:59:01 PM,2023-12-20 09:59:01 PM,OpenSSL,10.6.7
FIND-00093,DET-00004,CVE-2017-78578,ASSET-00047,Scanner,Evidence of CVE-2017-78578 on ASSET-00047 via Scanner,2024-03-20 06:10:08 AM,2024-04-10 06:10:08 AM,2024-05-26 06:10:08 AM,Ubuntu Linux,4.9.8
FIND-00094,DET-00030,CVE-2024-96797,ASSET-00083,InsightIDR,Evidence of CVE-2024-96797 on ASSET-00083 via InsightIDR,2025-04-11 08:40:59 AM,2025-07-02 08:40:59 AM,2025-07-03 08:40:59 AM,Chrome,9.8.1
FIND-00095,DET-00035,CVE-2024-95467,ASSET-00124,Manual,Evidence of CVE-2024-95467 on ASSET-00124 via Manual,2023-08-12 09:29:08 AM,2023-10-15 09:29:08 AM,2023-11-28 09:29:08 AM,Apache HTTP Server,11.20.8
FIND-00096,DET-00021,CVE-2016-23218,ASSET-00036,Manual,Evidence of CVE-2016-23218 on ASSET-00036 via Manual,2024-07-25 03:18:10 AM,2024-08-26 03:18:10 AM,2024-10-17 03:18:10 AM,Ubuntu Linux,15.3.8
FIND-00097,DET-00027,CVE-2016-92351,ASSET-00146,Manual,Evidence of CVE-2016-92351 on ASSET-00146 via Manual,2023-02-21 09:11:07 PM,,2023-03-17 09:11:07 PM,OpenSSL,15.12.3
FIND-00098,DET-00008,CVE-2023-63477,ASSET-00109,Agent,Evidence of CVE-2023-63477 on ASSET-00109 via Agent,2024-12-31 03:22:33 PM,2025-03-06 03:22:33 PM,2025-03-06 03:22:33 PM,MySQL,6.11.10
FIND-00099,DET-00029,CVE-2024-35454,ASSET-00029,SIEM,Evidence of CVE-2024-35454 on ASSET-00029 via SIEM,2023-10-11 01:14:21 AM,2023-11-06 01:14:21 AM,2023-11-24 01:14:21 AM,Java Runtime,2.6.7
FIND-00100,DET-00013,CVE-2024-64341,ASSET-00057,InsightIDR,Evidence of CVE-2024-64341 on ASSET-00057 via InsightIDR,2023-10-22 11:12:13 AM,2023-11-30 11:12:13 AM,2023-12-06 11:12:13 AM,Docker Engine,9.12.6
